MetadataComponentId;MetadataComponentName;MetadataComponentType;MetadataComponentNamespace;RefMetadataComponentId ;RefMetadataComponentName;RefMetadataComponentNamespace;RefMetadataComponentType
01p1I000009RyKBQA0;pkb_mobile_proxy;null;ApexClass;01I1I000001G9PBUA0;PKB;null;CustomObject
01p1I000009RyKLQA0;pkb_Mobile_CustomSettingModel;null;ApexClass;01I1I000001G9PCUA0;pkb_ka;null;CustomObject
01p1I000009RyLkQAK;ConsoleDBLookup;null;ApexClass;01I1I000001G9P1UAK;Console_Dashboard;null;CustomObject
01p1I000009RyK9QAK;Milestone1_Summary2;null;ApexClass;01I1I000001G9OwUAK;Milestone1_Settings;null;CustomObject
01p1I000009RyKCQA0;Milestone1_Task_Trigger_Utility;null;ApexClass;01I1I000001G9OwUAK;Milestone1_Settings;null;CustomObject
01p1I000009RyLZQA0;ChatterIdLookup;null;ApexClass;01I1I000001G9P2UAK;Chatter_Marquee;null;CustomObject
01pm0000000ilFXAAY;TestClass;null;ApexClass;01I1I000000fiB2UAI;test01;null;CustomObject
01p1I000009RyJqQAK;umCustomSettingModel;null;ApexClass;01I1I000001G9PEUA0;umKALayout;null;CustomObject
01p1I000009RyJqQAK;umCustomSettingModel;null;ApexClass;01I1I000001G9PFUA0;umKBDataCategory;null;CustomObject
01p1I000009RyJqQAK;umCustomSettingModel;null;ApexClass;01I1I000001G9PGUA0;umModerator;null;CustomObject
01p1I000009RyJqQAK;umCustomSettingModel;null;ApexClass;01I1I000001G9PHUA0;umSite;null;CustomObject
01p1I000009RyJqQAK;umCustomSettingModel;null;ApexClass;01I1I000001G9PIUA0;umZone;null;CustomObject
01p1I000009RyIgQAK;FSLVisionController;null;ApexClass;01I1I000001G9O4UAK;FSLVisSet;null;CustomObject
